sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,sample_type,nucleotide_type,collection_location,host_genome,notes
CMS_005_E3_S21,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,5003.0,19636026,457658,2.331,8218,1.0,63.409,1.49,"","","",Mosquito,""
CMS_005_F1_S6,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,5902.0,37779104,81526,0.216,5377048,1.0,67.005,5.98,"","","",Mosquito,""
CMS_005_F2_S14,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,4196.0,6405062,45590,0.712,231004,1.0,63.097,1.97,"","","",Mosquito,""
CMS_005_F3_S22,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3554.0,13646950,87310,0.64,1842,1.0,67.757,3.08,"","","",Mosquito,""
CMS_005_G1_S7,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,4969.0,20160828,54612,0.271,3999236,1.0,61.026,4.3,"","","",Mosquito,""
CMS_005_G2_S15,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,5063.0,7053948,53840,0.763,1266098,1.0,67.542,2.37,"","","",Mosquito,""
CMS_005_G3_S23,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3605.0,6498936,61570,0.947,636,1.0,71.988,2.37,"","","",Mosquito,""
CMS_005_H1_S8,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,4630.0,11505628,51560,0.448,2377886,1.0,63.046,3.41,"","","",Mosquito,""
CMS_005_H2_S16,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,5109.0,23291248,127864,0.549,2283832,1.0,64.926,3.54,"","","",Mosquito,""
CMS_006_RNA_A_S1,,2018-02-06 17:57:49 -0800,COMPLETE,11395.0,58468534,614932,1.052,0,1.0,79.189,1.46,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_
CMS_017_RNA_A_S2,,2018-02-06 17:57:49 -0800,COMPLETE,11624.0,73926974,565962,0.766,0,1.0,79.755,1.39,Insect engorged abdomen,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS_032_RNA_A_S4,,2018-02-06 17:57:49 -0800,COMPLETE,2443.0,48593918,288418,0.594,0,1.0,57.745,1.42,Insect engorged abdomen,RNA,37.661260_-122.133350,Mosquito,Culex tarsalis_NA_Skywest Golf_
CMS_070_RNA_A_S3,,2018-02-06 17:57:49 -0800,COMPLETE,19801.0,63094794,511918,0.811,0,1.0,82.817,1.43,Insect abdomen,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/19/17_Coyotes Hills
CMS_088a_MagMax_RNA_A_S5,,2018-05-29 15:18:01 -0700,COMPLETE,1694.0,26335784,147028,0.558,37246,1.0,24.481,1.09,"","","",Mosquito,""
CMS_088b_Dynabeads_RNA_A_S6,,2018-05-29 15:18:01 -0700,COMPLETE,2319.0,57530186,463460,0.806,14038,1.0,19.942,1.1,"","","",Mosquito,""
CMS_089a_MagBeads_RNA_A_S7,,2018-05-29 15:18:01 -0700,COMPLETE,2397.0,41716132,229406,0.55,5150,1.0,26.904,1.18,"","","",Mosquito,""
CMS_089b_ZymoZRDuet_RNA_A_S8,,2018-05-29 15:18:01 -0700,COMPLETE,2397.0,67299454,408028,0.606,2706,1.0,26.35,1.1,"","","",Mosquito,""
CMS_100_RNA_A_S3,,2018-05-29 15:18:01 -0700,COMPLETE,1826.0,11035288,15990,0.145,906,1.0,21.476,1.19,"","","",Mosquito,""
CMS_70_RNA_A_S4,,2018-05-29 15:18:01 -0700,COMPLETE,1779.0,8547182,15722,0.184,874,1.0,30.202,1.2,"","","",Mosquito,""
CMS_D_RNA_A_S1,,2018-05-29 15:18:01 -0700,COMPLETE,588.0,19285368,152842,0.793,3810,1.0,33.01,1.56,"","","",Mosquito,""
CMS_RL_RNA_A_S2,,2018-05-29 15:18:01 -0700,COMPLETE,1719.0,7752368,22772,0.294,514,1.0,26.018,1.15,"","","",Mosquito,""
CMS-076_RNA_A_S12,,2018-02-06 17:57:49 -0800,COMPLETE,14366.0,60230548,956812,1.589,0,1.0,78.112,2.05,"","","",Mosquito,""
CMS-078_RNA_A_S5,,2018-02-06 17:57:49 -0800,COMPLETE,6261.0,41550322,515760,1.241,0,1.0,77.625,1.49,"","","",Mosquito,""
CMS-079_RNA_A_S6,,2018-02-06 17:57:49 -0800,COMPLETE,11465.0,53378586,649290,1.216,0,1.0,82.476,1.49,"","","",Mosquito,""
CMS-080_RNA_A_S7,,2018-02-06 17:57:49 -0800,COMPLETE,10926.0,53978484,812388,1.505,0,1.0,84.003,1.28,"","","",Mosquito,""
CMS-081_RNA_A_S8,,2018-02-06 17:57:49 -0800,COMPLETE,13178.0,68383652,743076,1.087,0,1.0,80.059,1.28,"","","",Mosquito,""
CMS-082_RNA_A_S9,,2018-02-06 17:57:49 -0800,COMPLETE,7514.0,55151546,552446,1.002,0,1.0,82.407,1.14,"","","",Mosquito,""
CMS-083_RNA_A_S10,,2018-02-06 17:57:49 -0800,COMPLETE,13590.0,56742820,907258,1.599,0,1.0,85.134,1.2,"",RNA,Alameda,Mosquito,"Wuhan Mosquito Virus, Calbertado virus"
CMS-086_RNA_A_S11,Kalani Ratnasiri,2018-02-06 17:54:23 -0800,COMPLETE,16084.0,50066188,1180950,2.359,0,1.0,80.062,1.24,"","","",Mosquito,""
CMS001_001_Ra_S1,,2018-03-25 21:38:09 -0700,COMPLETE,47392.0,26717044,687714,2.574,6104,1.0,45.554,1.31,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_10/03/17_Coyotes Hills_HubeiMosquitoVirus4-WenzhouTombusLike11-HubeiVirgaLike2_Providencia_Trypanosome_rodent
CMS001_002_Ra_S1,,2018-04-15 09:23:02 -0700,COMPLETE,40464.0,31503742,369628,1.173,3080,1.0,48.006,1.25,whole,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/21/17_Coyotes Hills_
CMS001_003_Ra_S2,,2018-03-25 21:38:09 -0700,COMPLETE,39916.0,27436684,279064,1.017,2214,1.0,50.479,2.06,whole,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills_Anphevirus-CulexMononegaLike1-CulexMononegaLike2-OtherDivergentMonegaviruses_Acinobacter-Gilliamella-Anaplasma_Trichinella:PlasmodiumOvale_FarmAnimals-Homo?
CMS001_004_Ra_S2,,2018-04-15 09:23:02 -0700,COMPLETE,34194.0,35584846,46660,0.131,2586,1.0,15.904,1.18,whole,RNA,37.715200_-122.194310,Mosquito,Culex pipiens_09/12/17_San Leandro Sewer_
CMS001_005_Ra_S3,,2018-03-25 21:38:10 -0700,COMPLETE,41964.0,36030436,414060,1.149,2862,1.0,37.776,2.07,whole,RNA,37.788860_-122.299030,Mosquito,Culex incidens_09/29/17_Officers Club_EnvironmentaldsRNAvirus-WuhanMosquitoVirus8-ImjinRiver_Acinobacter_Trichinella_FarmAnimals_Homo?
CMS001_006_Ra_S5,Kalani Ratnasiri,2018-08-21 14:26:32 -0700,COMPLETE,38510.0,31771554,114312,0.36,6042,1.0,56.666,1.39,whole,RNA,37.55697: -122.07938,Mosquito,""
CMS001_007_Ra_S12,,2018-03-25 21:38:10 -0700,COMPLETE,32446.0,20334238,55328,0.272,1314,1.0,66.02,1.08,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_Trypanosome_Homo?
CMS001_008_Ra_S3,,2018-04-15 09:23:02 -0700,COMPLETE,39756.0,39977532,242172,0.606,1790,1.0,49.979,3.11,whole,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills_
CMS001_009_Ra_S13,,2018-03-26 17:39:09 -0700,COMPLETE,60904.0,62306790,813290,1.305,2678,1.0,84.341,2.28,whole,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills
CMS001_010_Ra_S1,,2018-04-19 14:22:25 -0700,COMPLETE,34459.0,10956312,31874,0.291,5356,1.0,33.875,1.03,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/19/17_Coyotes Hills_
CMS001_011_Ra_S4,,2018-04-15 09:23:02 -0700,COMPLETE,38907.0,46367004,169722,0.366,3804,1.0,20.617,1.15,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_
CMS001_012_Ra_S4,,2018-03-25 21:38:10 -0700,COMPLETE,8343.0,29359278,183896,0.626,2540,1.0,36.686,1.48,whole,RNA,37.556970_-122.079380,Mosquito,Culex dorsalis_09/19/17_Coyotes Hills_Orbivirus
CMS001_013_Ra_S5,,2018-04-15 09:23:02 -0700,COMPLETE,36837.0,46803120,109460,0.234,10046,1.0,30.854,1.06,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_
CMS001_014_Ra_S5,,2018-03-25 21:38:10 -0700,COMPLETE,38737.0,30285576,189340,0.625,1926,1.0,46.136,2.39,whole,RNA,37.581910_-122.048380,Mosquito,Culex incidens_10/06/17_Bobwhite Pond (Fremont)_dsRNA virus environmental sample
CMS001_015_Ra_S13,,2018-04-15 09:23:02 -0700,COMPLETE,32440.0,31961998,53908,0.169,2148,1.0,13.028,1.09,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/27/17_Coyotes Hills_
CMS001_016_Ra_S6,,2018-03-25 21:38:10 -0700,COMPLETE,39711.0,26878040,314946,1.172,1760,1.0,50.78,1.95,whole,RNA,37.581910_-122.04846,Mosquito,Culex inornata_09/19/17_Union City (near Bobwhite)_
CMS001_017_Ra_S6,Kalani Ratnasiri,2018-08-21 14:26:31 -0700,COMPLETE,38054.0,35183096,111950,0.318,3056,1.0,63.155,1.39,whole,RNA,"37.58191,	-122.04838",Mosquito,""
CMS001_018_Ra_S14,,2018-03-25 21:38:10 -0700,COMPLETE,31444.0,18795122,65880,0.351,1206,1.0,39.662,1.07,whole,RNA,37.556970_-122.07938,Mosquito,Culex erythrothorax_09/27/17_Coyotes Hills_Spirochetes_Trypanosomes
CMS001_019_Ra_S14,,2018-04-15 09:23:02 -0700,COMPLETE,35746.0,31633394,77522,0.245,1892,1.0,23.974,1.13,whole,RNA,37.556970_-122.07938,Mosquito,Culex erythrothorax_10/04/17_Coyotes Hills_
CMS001_020_Ra_S15,,2018-04-15 09:23:02 -0700,COMPLETE,39087.0,31195308,396026,1.27,4426,1.0,55.868,1.14,whole,RNA,37.581910_-122.04846,Mosquito,Culex erythrothorax_10/06/17_Union City Sanitary District_
CMS001_021_Ra_S16,,2018-04-15 09:23:03 -0700,COMPLETE,38693.0,30799178,259392,0.842,4756,1.0,43.264,1.04,whole,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS001_022_Ra_S6,,2018-04-15 09:23:03 -0700,COMPLETE,37263.0,46009226,177872,0.387,9752,1.0,27.47,1.27,whole,RNA,37.556970_-122.07938,Mosquito,Culex erythrothorax_09/27/17_Coyotes Hills_
CMS001_023_Ra_S17,,2018-04-15 09:23:03 -0700,COMPLETE,35144.0,29556020,67972,0.23,1872,1.0,19.476,1.09,whole,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS001_024_Ra_S15,,2018-03-26 10:09:24 -0700,COMPLETE,35685.0,21483528,85546,0.398,2110,1.0,69.843,1.1,whole,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS001_025_Ra_S7,,2018-04-15 09:23:03 -0700,COMPLETE,40808.0,38525702,272530,0.707,1794,1.0,54.337,3.27,whole,RNA,37.556970_-122.07938,Mosquito,Culex tarsalis_09/21/17_Coyote Hills
CMS001_026_Ra_S18,,2018-04-15 09:23:03 -0700,COMPLETE,38268.0,44577072,326078,0.731,2666,1.0,50.461,3.17,whole,RNA,37.509530_-121.93113,Mosquito,Culex tarsalis_09/19/17_Park Meadow Pond (Fremont)_
CMS001_027_Ra_S16,,2018-03-26 10:09:24 -0700,COMPLETE,32425.0,29422908,80376,0.273,452,1.0,65.928,1.22,whole,RNA,37.866500_-122.310510,Mosquito,Culex tarsalis_09/12/17_McLaughlin Park (Berkeley)_
CMS001_028_Ra_S17,,2018-03-26 10:09:24 -0700,COMPLETE,35141.0,13579216,97818,0.72,1384,1.0,66.26,1.05,whole,RNA,37.715200_-122.194310,Mosquito,Culex tarsalis_09/12/17_San Leandro Sewer_
CMS001_029_Ra_S18,,2018-03-26 10:09:24 -0700,COMPLETE,35683.0,18413176,89566,0.486,304,1.0,38.835,1.32,whole,RNA,37.684730_-121.913410,Mosquito,Culex pipiens_09/13/17_Val Vista Comm Park (Livermore)_
CMS001_030_Ra_S7,,2018-03-26 10:09:24 -0700,COMPLETE,35169.0,32798496,69840,0.213,2094,1.0,15.171,1.22,whole,RNA,37.715200_-122.194310,Mosquito,Culex pipiens_09/10/17_San Leandro Sewer_
CMS001_031_Ra_S19,,2018-03-26 10:09:24 -0700,COMPLETE,37207.0,13525892,109616,0.81,2016,1.0,76.688,1.09,whole,RNA,37.806300_-122.257300,Mosquito,Culex tarsalis_09/13/17_Bonsai Garden (Oakland)_
CMS001_032_Ra_S7,Kalani Ratnasiri,2018-08-21 14:26:31 -0700,COMPLETE,36945.0,36829212,93508,0.254,2468,1.0,57.199,1.7,whole,RNA,"37.66126, -122.13335",Mosquito,""
CMS001_033_Ra_S8,,2018-04-15 09:23:03 -0700,COMPLETE,37442.0,31711470,185802,0.586,7106,1.0,30.678,1.09,whole,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/11/17_Coyotes Hills_
CMS001_034_Ra_S19,,2018-04-15 09:23:03 -0700,COMPLETE,36653.0,25525650,114330,0.448,1250,1.0,20.315,1.08,whole,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/11/17_Coyotes Hills_
CMS001_035_Ra_S20,,2018-03-26 10:09:24 -0700,COMPLETE,44679.0,13364956,373770,2.797,1540,1.0,82.918,1.37,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/11/17_Coyotes Hills_
CMS001_036_Ra_S20,,2018-04-15 09:23:03 -0700,COMPLETE,43299.0,28785710,275388,0.957,10062,1.0,42.621,1.1,whole,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/11/17_Coyotes Hills_
CMS001_037_Ra_S21,,2018-04-15 09:23:03 -0700,COMPLETE,34211.0,47742618,112490,0.236,4170,1.0,28.593,1.15,whole,RNA,NA,Mosquito,Culex erythrothorax_08/18/17_NA_
CMS001_038_Ra_S22,,2018-04-15 09:23:03 -0700,COMPLETE,37154.0,36067908,132206,0.367,3244,1.0,32.488,1.12,whole,RNA,37.583910_-122.092380,Mosquito,Culex tarsalis_08/24/17_South Marsh Pond (Union City)_
CMS001_039_Ra_S9,,2018-04-15 09:23:03 -0700,COMPLETE,36643.0,34687168,112376,0.324,2012,1.0,30.224,1.14,whole,RNA,37.583910_-122.092380,Mosquito,Culex tarsalis_08/24/17_South Marsh Pond (Union City)_
CMS001_040_Ra_S21,,2018-03-26 10:09:24 -0700,COMPLETE,30339.0,15491978,70502,0.455,2790,1.0,66.103,1.07,whole,RNA,37.499490_-121.933780,Mosquito,Culex tarsalis_08/31/17_Reliance Way Lot
CMS001_041_Ra_S10,,2018-04-15 09:23:03 -0700,COMPLETE,34740.0,35752378,102676,0.287,4474,1.0,35.292,1.3,whole,RNA,37.499490_-121.933780,Mosquito,Culex pipiens_08/31/17_Reliance Way Lot_
CMS001_042_Ra_S23,,2018-04-15 09:23:03 -0700,COMPLETE,31726.0,36384680,138728,0.381,2058,1.0,29.381,1.11,whole,RNA,37.661260_-122.133350,Mosquito,Culex tarsalis_08/25/17_Skywest Golf_
CMS001_043_Ra_S24,,2018-04-15 09:23:03 -0700,COMPLETE,36958.0,20543860,84360,0.411,1502,1.0,36.997,1.13,whole,RNA,37.661260_-122.133350,Mosquito,Culex tarsalis_08/25/17_Skywest Golf_
CMS001_044_Ra_S25,,2018-04-15 09:23:03 -0700,COMPLETE,32398.0,11465786,65128,0.568,836,1.0,50.932,1.1,whole,RNA,37.661260_-122.133350,Mosquito,Culex pipiens_8/25/17_Skywest Golf_
CMS001_045_Ra_S2,,2018-04-19 14:22:25 -0700,COMPLETE,36647.0,10869462,135680,1.248,14114,1.0,50.477,1.11,whole,RNA,37.55697_-122.079380,Mosquito,Culex_tarsalis_8/3/17_Coyotes Hills_
CMS001_046_Ra_S3,,2018-04-19 14:22:25 -0700,COMPLETE,41239.0,15574872,384232,2.467,3376,1.0,49.789,1.33,whole,RNA,37.55697_-122.07938,Mosquito,Culex_tarsalis__8/3/17_Coyotes Hills_
CMS001_047_Ra_S4,,2018-04-19 14:22:25 -0700,COMPLETE,35606.0,11122662,104044,0.935,1142,1.0,37.299,1.13,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_8/3/2017_Coyotes Hills_
CMS001_048_Ra_S5,,2018-04-19 14:22:25 -0700,COMPLETE,31615.0,11602996,46294,0.399,2754,1.0,31.742,1.05,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_8/3/2017_Coyotes Hills_
CMS001_049_Ra_S6,,2018-04-19 14:22:25 -0700,COMPLETE,38079.0,13208840,67518,0.511,1360,1.0,21.588,1.07,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_8/3/2017_Coyotes Hills_
CMS001_050_Ra_S23,,2018-03-26 10:09:24 -0700,COMPLETE,36750.0,24841430,112662,0.454,1008,1.0,59.948,1.1,whole,RNA,37.506080_-121.998570,Mosquito,Culex erythrothorax_10/17/17_Stevenson Pond (Newark)_Providencia_HubeiVirgaLike2
CMS001_051_Ra_S8,,2018-03-26 10:09:24 -0700,COMPLETE,39085.0,30339330,207714,0.685,1574,1.0,27.557,1.14,whole,RNA,37.506080_-121.998570,Mosquito,Culex tarsalis_10/17/17_Stevenson Pond (Newark)_HubeiMosquitoVirus2-EnvironmentalBunyaviridae-Narnaviridae-WenzhouSobemoLike4
CMS001_052_Ra_S7,,2018-04-19 14:22:25 -0700,COMPLETE,32385.0,15587242,46936,0.301,1066,1.0,18.317,1.08,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS001_053_Ra_S8,,2018-04-19 14:22:25 -0700,COMPLETE,32416.0,18426770,47824,0.26,946,1.0,16.766,1.08,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_10/7/2017_Coyotes Hills_
CMS001_054_Ra_S11,,2018-04-15 09:23:03 -0700,COMPLETE,36394.0,34981460,40758,0.117,3636,1.0,21.507,1.29,whole,RNA,37.630830_-122.142670,Mosquito,Culex pipiens_02/10/16_Dutra Duck Ponds_
CMS001_055_Ra_S9,,2018-04-19 14:22:25 -0700,COMPLETE,31613.0,15309036,29778,0.195,2454,1.0,19.935,1.03,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS001_056_Ra_S10,,2018-04-19 14:22:25 -0700,COMPLETE,35070.0,16171702,40488,0.25,2180,1.0,25.512,1.06,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS001_057_Ra_S11,,2018-04-19 14:22:25 -0700,COMPLETE,37431.0,16068996,181904,1.132,3442,1.0,47.419,1.22,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS001_058_Ra_S9,,2018-03-26 10:09:24 -0700,COMPLETE,37031.0,23464710,116416,0.496,2310,1.0,23.392,1.1,whole,RNA,NA_NA,Mosquito,Culex_erythrothorax_NA_NA_NA_mammalianBloodmeal-spirochete-HubeiVirgaLike2-Narnaviridae-WenzhouTombuLike11-HubeiMosquitoVirus4
CMS001_059_Ra_S10,,2018-03-26 10:09:24 -0700,COMPLETE,36694.0,28157612,99862,0.355,4634,1.0,15.634,1.19,whole,RNA,37.668300_-122.159150,Mosquito,Culex pipiens_10/24/17_Ora Loma Sanitary District_Wolbachia-divergentHaemophilus_Trypanosomes
CMS001_060_Ra_S12,,2018-04-15 09:23:03 -0700,COMPLETE,45221.0,41239958,504880,1.224,2998,1.0,61.184,2.36,whole,RNA,37.556970_-122.07938,Mosquito,Culex inornata_10/23/17_Coyote Hills_Was this Aedes?
CMS001_water1_S11,,2018-03-26 10:09:24 -0700,COMPLETE,30436.0,9186,6,0.065,214,1.0,0.386,1.31,water,RNA,"",Mosquito,""
CMS001_water2_S24,,2018-03-26 10:09:24 -0700,COMPLETE,31257.0,464240,3994,0.86,431350,1.0,30.096,1.03,water,RNA,"",Mosquito,""
CMS001_water3_Qiagen_S26,,2018-04-15 09:23:03 -0700,COMPLETE,36806.0,8462350,78068,0.923,204484,1.0,48.175,1.48,water,RNA,"",Mosquito,""
CMS001_water4_Zymo_S27,,2018-04-15 09:23:03 -0700,COMPLETE,32342.0,1069066,9400,0.879,873754,1.0,13.307,1.26,water,RNA,"",Mosquito,""
CMS001_water5_RNA_A_S12,,2018-04-19 14:22:25 -0700,COMPLETE,32368.0,31114,184,0.591,13204,1.0,2.567,1.03,water,RNA,"",Mosquito,""
CMS002_001a_Rb_S116_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,22402.0,54921592,82762,0.151,7932,1.0,14.819,1.89,whole,RNA,"32.7962659, -116.9594824",Mosquito,"- id_method : TEA
- genus_species: Cx. Quing
- Number of mosquitos: 1
- Sex: female
- Blood fed: Y
id_method: HLC then added to rna shield"
CMS002_004a_Rb_S117_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,19873.0,54382586,13812,0.025,7214,1.0,5.727,2.16,whole,RNA,"32.7991943, -116.9193062",Mosquito,"- id_method : TEA
- genus_species: Cx. Quing
- Number of mosquitos: 1
- Sex: female
- Blood fed: Y
id_method: HLC then added to rna shield"
CMS002_007a_Rb_S118_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,47804.0,91089974,717738,0.788,21520,1.0,59.22,3.42,whole,RNA,"32.7856362, -116.9887078",Mosquito,"Tongilchon virus 1 & North Creek virus & Riverside  = unclassified rhabdoviridae  (PMID 28943405) - use all these to seed PRICE assembly
- id_method : TEA
- genus_species: Cx. Quing
- Number of mosquitos: 1
- Sex: female
- Blood fed: Y
id_method: HLC then added to rna shield"
CMS002_010a_Rb_S119_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,20521.0,89358216,33756,0.038,5540,1.0,11.687,2.36,whole,RNA,"32.7981529, -116.9544084",Mosquito,"- id_method : TEA
- genus_species: Cx. Quing
- Number of mosquitos: 1
- Sex: female
- Blood fed: Y
id_method: HLC then added to rna shield"
CMS002_013a_Rb_S120_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,19585.0,76144326,68442,0.09,45442,1.0,30.708,1.8,whole,RNA,"32.7996185, -116.9393203",Mosquito,"- id_method : TEA
- genus_species: Cx. Quing
- Number of mosquitos: 1
- Sex: female
- Blood fed: Y
id_method: HLC then added to rna shield"
CMS002_016a_Rb_S121_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,21805.0,81220802,1342,0.002,12820,1.0,2.402,1.33,whole,RNA,"32.7152395, -117.1148424",Mosquito,"Super clean sample surprisingly few non-host reads
- id_method : Freeze
- genus_species: Ae. Egypti
- Number of mosquitos: 1
- Sex: female
- Blood fed: N
id_method: HLC then added to rna shield"
CMS002_017a_Rb_S122_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,26753.0,75330508,151912,0.202,24734,1.0,12.505,1.49,whole,RNA,"32.5542907, -117.0482800",Mosquito,"- id_method : Freeze
- genus_species: Ae. Egypti
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: HLC then added to rna shield"
CMS002_017b_Rb_S123_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,28965.0,77087486,172502,0.224,27258,1.0,24.459,1.51,whole,RNA,"32.5542907, -117.0482800",Mosquito,"- id_method : Freeze
- genus_species: Ae. Egypti
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: HLC then added to rna shield"
